Store,State
928,NW
929,SH
930,NW
931,SH
932,BY
933,SN
934,NW
935,SH
936,NW
937,HE
938,"HB,NI"
939,NW
940,SN
941,BY
942,HE
943,NW
944,"HB,NI"
945,SH
946,RP
947,BW
948,BW
949,BE
950,BW
951,NW
952,BY
953,TH
954,NW
955,NW
956,NW
957,BE
958,BE
959,BE
960,HE
961,NW
962,NW
963,SN
964,BW
965,HE
966,NW
967,NW
968,SN
969,BW
970,HE
971,TH
972,ST
973,NW
974,BY
975,NW
976,NW
977,BY
978,SN
979,TH
980,NW
981,ST
982,SN
983,NW
984,NW
985,BW
986,NW
987,BE
988,SH
989,BY
990,SN
991,NW
992,NW
993,SN
994,NW
995,SN
996,SN
997,HE
998,BW
999,SN
1000,BY
1001,TH
1002,BE
1003,NW
1004,BY
1005,NW
1006,ST
1007,SH
1008,HH
1009,BY
1010,SH
1011,NW
1012,BY
1013,NW
1014,NW
1015,RP
1016,NW
1017,SN
1018,BE
1019,BY
1020,HE
1021,BE
1022,NW
1023,SN
1024,SH
1025,RP
1026,NW
1027,BY
1028,NW
1029,ST
1030,ST
1031,NW
1032,ST
1033,BE
1034,SN
1035,SN
1036,NW
1037,NW
1038,BY
1039,NW
1040,NW
1041,BY
1042,NW
1043,ST
1044,BW
1045,SH
1046,ST
1047,NW
1048,SH
1049,BY
1050,HE
1051,BW
1052,NW
1053,"HB,NI"
1054,SH
1055,BE
1056,BY
1057,SH
1058,NW
1059,HH
1060,NW
1061,BW
1062,RP
1063,HH
1064,NW
1065,BY
1066,NW
1067,BY
1068,BW
1069,TH
1070,"HB,NI"
1071,SH
1072,NW
1073,NW
1074,SN
1075,BE
1076,NW
1077,NW
1078,BW
1079,HE
1080,BY
1081,BE
1082,SN
1083,HE
1084,HE
1085,BE
1086,HE
1087,"HB,NI"
1088,NW
1089,NW
1090,SN
1091,SH
1092,BY
1093,SN
1094,BY
1095,TH
1096,NW
1097,RP
1098,SN
1099,SH
1100,NW
1101,SH
1102,BY
1103,HE
1104,BY
1105,NW
1106,SH
1107,BY
1108,SN
1109,BY
1110,BE
1111,NW
1112,NW
1113,SH
1114,HH
1115,HE
